diet_group,mean_acid,mean_bio,mean_eut,mean_ghgs,mean_ghgs_ch4,mean_ghgs_n2o,mean_land,mean_watscar,mean_watuse
fish  female,23.56631154,252.5986771,21.03969988,4.968592921,0.848570057,0.327401393,6.642188966,18142.1833,779.1388017
fish male,24.63724973,262.1093885,22.42153102,5.298138924,0.871103148,0.345922663,7.064051101,18989.04398,817.9715822
meat female,33.36521388,312.804638,29.51426253,7.378603679,1.47610716,0.52221303,12.76017561,19107.08895,860.5645077
meat male,34.6332575,325.0836925,31.12128529,7.729363184,1.536385409,0.548055819,13.41315505,19461.57485,867.177332
meat100 female,45.56661547,412.8637915,40.49794521,11.15677829,2.378900546,0.807995931,23.53891341,22131.26498,963.6907215
meat100 male,47.99286076,431.1378159,44.01964698,11.69495197,2.500159873,0.860860112,24.48120935,22863.18271,984.7551522
meat50 female,26.64895979,266.121553,23.52050836,5.653609586,1.070489621,0.386348274,8.426892435,17646.27308,777.3641602
meat50 male,27.69679851,279.1467581,24.6430137,5.940835,1.113073768,0.404720196,8.89832531,17987.99033,787.2341086
vegan female,11.5188476,124.9518976,11.34224773,2.595871508,0.157535386,0.217505622,4.460946533,15031.05105,443.1903392
vegan male,11.67831689,123.7837343,11.58014932,2.629250281,0.1451057,0.219142925,4.560443603,15593.92535,456.8485427
veggie female,21.24455445,249.389861,17.36548589,4.398438376,0.774992757,0.295830221,6.368289153,16126.60306,553.7870941
veggie male,22.08373726,256.3340692,18.36717081,4.638384186,0.782592171,0.31139431,6.715724361,16813.84903,584.8295806
